id	pred	
1:	['重合', '网关', '接触器']
293:	['阀盖', '绞肉', '手轮']
294:	['电表箱', '电能', '按钮开关']
295:	['骨架', '钢丝网', '管用']
296:	['元器件', '管控', '电阻']
297:	['Auge', '毫米波', '朗读']
298:	['烃', '资源化', '埋罐']
299:	['空调机', '叠式', '排水管']
300:	['片', '打散', '新型材料']
301:	['减震器', '减振器', '机车']
302:	['钙', '机器', '滚齿机']
303:	['淋浴屏', '热水器', '淋浴']
304:	['开关', '大容量', '浸式']
305:	['收缩膜', '啤酒', '尼龙']
306:	['气胀', '模切机', '磁性']
307:	[]
308:	['干巾', '抗菌', '无纺布']
309:	['热循环', '烤', 'PCB']
310:	['分子筛', '冷器', '腔']
311:	['光滑', '铁屑', '闸阀']
312:	['焦化', '酚', '氰']
313:	['链条', '卡爪', '项链']
314:	['染蛋捞', '蛋器', '固色剂']
315:	['天然气', '修正', '旋涡']
316:	['剖', '门', '水循环']
317:	['双色', '型腔', '热流']
318:	['脱销', '焚烧', '调控']
319:	['分步', '可靠性', '超短']
320:	['钢背', '喷砂', '刹车片']
321:	['量子', '茶叶', '光谱']
322:	['猪仔', '保育', 'RO']
323:	['立柱', '段', '收']
324:	['钙', '渗', '滤液']
325:	['冷凝器', '滤清器', '负离子']
326:	['汽轮机', '减速机', '抓手']
327:	['扩口', '管端', '电阻']
328:	['石斛', '铁皮', '饮料瓶']
329:	['冲压机', '发热', '热敏']
330:	['双液', '聚氨酯', '稀释剂']
331:	['工艺', '加工', '转子']
332:	['条', '宽度', '电子秤']
333:	['丝料', '链条', '卷筒']
334:	['吊牌', '试管', '清点']
335:	['提花布', '龙头', '提花']
336:	['预处理', '水样', '常数']
337:	['盾构', '防背', '机刀盘']
338:	['酚', '一株', '菌']
339:	['体育', '蹲', '服装']
340:	['激光雕刻', '点火装置', '高分辨率']
341:	['五星', '椅脚', '磷化']
342:	['光学仪器', '倒', '游星']
343:	['减震器', '关节轴承', '刀具']
344:	['沥青', '贴合', '道路']
345:	['电能', '培训', '支付']
346:	['移动式', '生活', '医院']
347:	['门窗', 'PC', '钢筋']
348:	['导管', '造', '女式']
349:	['吸湿', '羊绒纱', '喷枪']
350:	['压塑', '换向器', '钻孔机']
351:	['灯座', 'USB', '水通']
352:	['面料', '染整', '针织']
353:	['筛沙', '炉门', '砌块']
354:	['少', '伞齿轮', '皮卡车']
355:	['包装桶', '集装', '聚丙烯']
356:	['压花机', '隔水', '麂皮']
357:	['链条', '纺织机械', '攻丝机']
358:	['输液器', '热封', '导管']
359:	[]
360:	['风罩', '台阶', '仿生']
361:	['眼镜', '机柜', '钢片']
362:	['自带', '拉杆箱', '拉杆']
363:	['曲轴', 'ABS', '轮速']
364:	['化纤', '短纤维', '塑料片']
365:	[]
366:	[]
367:	['碳刷', '多头', '砂光机']
368:	['健身器', '核心', '普拉提']
369:	[]
370:	['意外', '关门', '及防']
371:	['发生器', '臭氧', '池水']
372:	['飞行器', '屏蔽', '多轴']
373:	['植草', '边坡', '喷洒']
374:	['包装盒']
375:	['制鞋', '浇注', '聚氨酯']
376:	['断针', '验布机', '帷幔']
377:	['泡沫', '进气', '发泡']
378:	['变电站', '开关柜', '配电柜']
379:	['离合器', '减速', '精度高']
380:	[]
381:	['扫描仪', '馈纸式', '文档']
382:	['气室', '液压缸', '泡沫塑料']
383:	['绿化带', '指示牌', '护岸']
384:	['石', '花岗岩', '喷枪']
385:	['刺绣', '驱动轮', '盆']
386:	['制鞋', '淤泥', '胶鞋']
387:	['电表箱', '夜间', '配电箱']
388:	['镁', '耳机', '电缆线']
389:	['包装机', '导管', '胶水']
390:	['主机', '预压', 'S']
391:	['遮阳网', '编织', '遮阳棚']
392:	['机上', '龙门', '模板']
393:	[]
394:	['菌', '吡', '注射用']
395:	['耐久', '纸箱', '锯片']
396:	['导热', '排汗', '提花']
397:	[]
398:	['不可', '腕带', '新生儿']
399:	['M180', '竖杆', '漂移']
400:	['镗', '精镗', '粗']
401:	['边缘', '机柜', '数据处理']
402:	['测定仪', '量块', '测落']
403:	['链条', '燃油泵', '化油器']
404:	['制鞋', '数码', '脚印']
405:	[]
406:	['条', '包边', '相框']
407:	['极', '漏电', '脱扣']
408:	['丝光', '电除尘器', '卷筒']
409:	['变压', '硬', '环网']
410:	['器件', '发光', '荧光']
411:	['除雾器', '内冷式']
412:	['卡合', '滑索', '滑轨']
413:	['焊机', '钢辊', '配电柜']
414:	['不干胶', '手提袋', '递墨']
415:	['登陆', '排队', '网络游戏']
416:	['包装桶', '硅橡胶', '室温']
417:	['粘度', '灌装机', '特种']
418:	['利于', '称量', '储液']
419:	['复配', '离心机', '粗']
420:	[]
421:	['墙纸', 'VOC', '储存罐']
422:	['热解', '复合型', '干']
423:	['改性沥青', '存储', '烯']
424:	['轴封', '管线', '三级']
425:	['服务平台', '光谱', '数据交换']
426:	['凝气', '烷基化', '环氧']
427:	[]
428:	['螺栓', '六角', '磁性']
429:	['离合器', '滤清器', '从动盘']
430:	['活性染料', '芳烃', '稳定剂']
431:	['螺柱', '牙板', '六角']
432:	[]
433:	['计数器', '霍尔', 'SOC']
434:	['蜗杆', '减速机', '蜗轮']
435:	[]
436:	['气罐', '瓦楞纸板', '五金']
437:	['电磁阀', '二位', '触点']
438:	['瓣', '双阀', '磁性']
439:	['胶带', '模切机', '卷筒']
440:	['卸载', '获取', '捡']
441:	['鞋楦', '隔水', '木制']
442:	['吸管', '胶囊', '奶粉']
443:	['粘结剂', '熔融', '电解液']
444:	['剪叉式', '手动液压', '平台车']
445:	['尺寸', '多种不同', '套圈']
446:	[]
447:	['磁芯', '减震器', '自由度']
448:	[]
449:	['磁芯', '节气门', '轮速']
450:	['门', '链接', '折叠门']
451:	['亚麻', '便', '烧毛']
452:	['混', '制砂机', '长效']
453:	['送料机', '弹簧机', '电阻器']
454:	['化纤', '容性', '充电器']
455:	['氟化氢', '晶体', '环氧']
456:	['托架', '键盘', '座舱']
457:	['面料', '连续性', '混纺']
458:	['射频', '垃圾桶', '分类']
459:	['新能源', '模组', '动力电池']
460:	['边缘', '组网', '无线通信']
461:	['减震器', '闭合', '自由度']
462:	['管柱', '蜗杆', '液压缸']
463:	['操作系统', '模锻', '温热']
464:	['真空泵', '脱除', '环氧']
465:	['磁性', '电子秤', '涨']
466:	['螺栓', '超强', '铁材']
467:	[]
468:	['导热', '作业', '扫描枪']
469:	[]
470:	['铝焊', '硬度', '刀具']
471:	['熨烫', '会议', '轻质']
472:	['电热', '线及', '构成']
473:	['电除尘器', '阳极板', '库仑']
474:	['反光', '胶带', '封边']
475:	['90', '铺粉', '铜合金']
476:	['复配', '泵送', '萘系']
477:	[]
478:	['冲片', '塑封', '功率']
479:	['隔震型', '晶棒', '晶片']
480:	['手术', '医疗器械', 'R910']
481:	[]
482:	[]
483:	['鸟类', '抓捕', '跟踪器']
484:	['锥盘', '绞合', '收']
485:	['齿轮泵', '减速', '取力器']
486:	[]
487:	['线束', '标定', '电阻']
488:	['镁', '淤泥', '磷剂']
489:	['多晶硅', '金刚石', '钢线']
490:	['纱锭', '纱筒', '置入']
491:	['混凝土', '土建工程', '模板']
492:	['数码', 'Press', 'V4.0']
493:	[]
494:	['防堵', '存储', '储存罐']
495:	[]
496:	['六角', '丝机', '热镀锌']
497:	['集装', '杂质', '粗']
498:	['测距仪', '三筒', '激光测距']
499:	['上料机', '砖', '砌块']
500:	['门窗', '铝材', '弧度']
501:	['码', '卡口', '学习']
502:	['美体', '袜', '巾']
503:	['螺帽', '后装', '车轮']
504:	['滑板', '滚边', '热敏']
505:	['吊机', '型材', '升降台']
506:	['电力设备', '警示', '提醒']
507:	['防眩', '散热器', '窗框']
508:	[]
509:	['帽', '纸尿裤', '格子状']
510:	['袜', '袜机', '选针器']
511:	['电器', '支持', '传动件']
512:	['升降器', '滑块', '蜗轮']
513:	['标定', '手眼', '链条']
514:	['对象', '发布', '即时']
515:	['基准', '端板', '封边']
516:	['2D', '3D', '视觉效果']
517:	['压力锅', '巾', '锅盖']
518:	['磨床', '修正', '主轴']
519:	['假发', '发丝', '造']
520:	['人造草坪', '园林绿化', '人工']
521:	['铁屑', '特种', '凹版']
522:	['有牌', '值守', '计费']
523:	['影响', '反馈', 'ADC']
524:	['绝缘子', '偏差', '电阻']
525:	['粉末冶金', 'MIM', '雕']
526:	['油压', '拉杆', '升降台']
527:	['粘贴', '便利', '便条纸']
528:	['外加剂', '研究', '预制']
529:	['栽培', '池塘', '远程']
530:	['门', '机柜', '轻便式']
531:	['胶', '胶机', '导磁件']
532:	['真空泵', '线束', '电池组']
533:	['横线', '回料', '锯片']
534:	['铁屑', '孔径', '编码器']
535:	['墙纸', '张力器', '干法']
536:	['丝光', '布机', '纺织印染']
537:	['钯', '天然气', '制氮']
538:	[]
539:	['电缆线', '履带式', '缆线']
540:	['印制', '印刷版', '举升']
541:	['碟刹盘', '上泵', '碟刹']
542:	['高分子', '黏剂', '聚氨酯']
543:	['管廊', '漏电', '室内空气']
544:	['离合器', '微动', '粮']
545:	['指示牌', '夜间', '照明用']
546:	['机柜', '乳化', '微米']
547:	['织带', '尼龙', '热水']
548:	['锁扣', '复合地板', '实木']
549:	['剪叉式', '吊机', '液压缸']
550:	[]
551:	['精炼', '酸蓄电池', '铅']
552:	['漏电', '增强型', '多组']
553:	['肉包', '趾甲', '痛']
554:	['广播设备', '会议', '小区']
555:	['供水管', '消火栓', '漏损']
556:	['处理器', '移动式', '金属']
557:	['用以', '灯饰', '构成']
558:	['皮革', '人造革', '合成革']
559:	['耳机', '音膜', '压花']
560:	['数据传输', '音频设备', '4G']
561:	[]
562:	['CT', '数据传输', '电阻']
563:	['包装袋', '熔融', '编织袋']
564:	['压力锅', '摩卡', '锅盖']
565:	['无纺布', '卷筒', '口罩']
566:	['数控车床', '刀架', '钻攻']
567:	['逆流', '壳', '变频器']
568:	['蜂窝', '压合', '家具']
569:	['生锈', '散热器', '五金']
570:	['高空作业', '插装式', '挖掘机']
571:	['灯泡', '漏电', '照明灯']
572:	[]
573:	[]
574:	['软管', '热水器', '管卡']
575:	['富氢', '黄油枪', '净水机']
576:	['收放', '终端设备', 'USB']
577:	['脸机', '蜜蜂', '网付']
578:	['坯布', '络筒机', '花']
579:	['呼吸器', '擦手纸', '松紧带']
580:	['橱', '色谱', '水浴']
581:	['蓬松', '复合型', '粗纺']
582:	['条', '吸管', '拉杆']
583:	[]
584:	['售卖机', '补货', '售卖']
585:	['收缩膜', '分切', '拉力']
586:	['塑料颗粒', '包装袋', '编织袋']
587:	['螺帽', '输料', '螺栓']
588:	['矩阵', '机械泵', '电离']
589:	['丝机', '自带', '多头']
590:	['冲片', '磁钢', '永磁']
591:	['甩脂机', '立体车库', '健身器材']
592:	['机系统', '楼宇', '讲']
593:	['压花', '压合机', '梭织']
594:	['密封件', '聚丙烯', '弹性体']
595:	['双色', '插销', '高可靠性']
596:	['防水剂', '匀料', '微粉']
597:	[]
598:	['测定仪', '泡沫', '除菌']
599:	['铝合金', '钮扣', '花']
600:	['导纱', '纱布', '粗']
601:	['皮带', '三级', 'PTFE']
602:	['毛绒', '蓬松', '聚氨酯']
603:	['烟管', '蜂窝状', '铝合金']
604:	['矫直机', '型材', '剔除']
605:	['臂力', '聚氨酯', '沙发床']
606:	['铝型材', '铝材', '散热器']
607:	['纺织机械', '减速器', '减速机']
608:	['电视机', '比例', '视频信号']
609:	['尼龙', 'PC', 'VOC']
610:	['锤式', '上料机', '药品']
611:	['气室', '高可靠性', '千斤顶']
612:	['扩口', '波纹', '排水管']
613:	['充气床', '船', '保温箱']
614:	['雾化', '手臂', 'AGV']
615:	['同步电机', '环氧', '胶水']
616:	['薄壁', '环氧', '压缩机']
617:	['不干胶', '吊牌', '二维码']
618:	['美容', '弹子', '钻孔机']
619:	['点火', '火线', '执行器']
620:	['料辊', '驱蚊', '丝绸']
621:	['冷凝器', '防堵', '消白']
622:	['纳米材料', '尼龙', '高分子']
623:	['胶合板', '单板', '修边']
624:	['套圈', '剔除', '铜套']
625:	['自动线', '门', '门面']
626:	['非法', 'linux', '复制']
627:	['工程塑料', '磁性', 'ABS']
628:	['纤维素', '治疗仪', '实验']
629:	['modbus', '网关', '感烟']
630:	['磨边', '软垫', '鞋子']
631:	['钴', '离心机', '增进']
632:	['天然气', '捕捉', '尺']
633:	['导热油', '硬密封', '冷却水']
634:	['负', '型材', 'CNC']
635:	['簧片', '间隙', '平面磨床']
636:	['导电体', '用高', '弧角']
637:	['冷凝器', '线束', 'PCB']
638:	['条', '立柱', '木门']
639:	['铁氧体', '绝缘纸', '高低压']
640:	['纸盒', '丝网', '模切机']
641:	['热能', '复合地板', '自带']
642:	['滑轨', '汽车尾气', '弧度']
643:	['精准', '纺织机械', '合装']
644:	['单晶硅', '多晶', '性']
645:	[]
646:	[]
647:	['光滑', '螺杆', '工况']
648:	['铝合金', '热能', '型材']
649:	['环氧', '卸载', '大豆油']
650:	[]
651:	['液压站', '控制算法', '深沉']
652:	['资源', '垃圾', '垃圾袋']
653:	['充气', '件', '辅助']
654:	['移动式', '安防', '微模块']
655:	['链条', '桁架', '滚齿机']
656:	['熨烫', '化纤', '化纤面料']
657:	['抽屉', '联锁', '非晶']
658:	['熔接', '蜗杆', '蜗轮']
659:	['磁珠', '保存', '多线程']
660:	['卫生用品', '高分子', '高韧性']
661:	['比拉', '斯汀', '苯甲酸']
662:	['截流', '反馈', '耐低温']
663:	['鼓风', '零气耗', '机械加工']
664:	['抛丸机', '环氧', '高可靠性']
665:	['非晶', '带材', '实验']
666:	[]
667:	['龙门', '滑台', '多轴']
668:	[]
669:	['氧化锌', '包高', '电阻']
670:	['指纹锁', '播放', '网关']
671:	['分子筛', '完全', '球磨机']
672:	['用导纱', '纺织机械', '针块']
673:	['后视镜', '机柜', '散热器']
674:	['车型', '后桥', '压接']
675:	['倒料', '穿梭', '四向']
676:	['适合', '亚克力', '高分子']
677:	['消光', '钛白粉', '反射']
678:	['翻销', '风车', '举门']
679:	['包塑', '波纹', '镗']
680:	['CrN', 'AlPO', '磁控溅射']
681:	['关系', '标注', '学习']
682:	['皮带', '穿梭', '钢料']
683:	['瓶类', '传动链', '铣床']
684:	['芯锁', '螺栓', '五金']
685:	['边坡', '留设', '监理']
686:	['焊接设备', '测量机', '抓手']
687:	['装置', '化工泵', '减震']
688:	['MD', '自动铅笔', '铅笔']
689:	['橡皮泥', '剔除', '包装袋']
690:	['镗', '精镗', '粗']
691:	['丝网', '防堵', '电池组']
692:	['陶瓷', '刹车盘', '集装']
693:	[]
694:	['密封件', '锤', '聚氨酯']
695:	['喷砂', '压花', '气泡']
696:	['感应式', '吸头', '卸载']
697:	['伸线', '供油', '眼模']
698:	['聚四氟乙烯', '波纹', '立体式']
699:	['封道', '锚固', '信息化']
700:	['体外', '分析方法', '切']
701:	['燃料', '镀池', '热镀锌']
702:	['离合器', '除草机', '浇灌']
703:	['遮阳网', '地膜', '银黑']
704:	['牵引', '拉直', '绝缘层']
705:	['安全门', '锁闭', '高低压']
706:	['测距仪', '折叠桌', '尺']
707:	[]
708:	['散热器', '攻牙机', '多目']
709:	[]
710:	[]
711:	['工业用', '刹车盘', '加热器']
712:	[]
713:	[]
714:	['帮机', '祛除', '鞋子']
715:	['电子秤', '智能']
716:	['淋浴', '龙头', '手轮']
717:	['智联', '用箔', '绕式']
718:	['冷藏', '剔除', '五金']
719:	['聚酯树脂', '碳纤维', '聚酯纤维']
720:	['挂架', '淋浴', '洗漱']
721:	['环境监测', '移液管', '瓶刷']
722:	['线缆', 'LEU', '清点']
723:	['提取液', '茶', '茶叶']
724:	['标定', '相机', '手眼']
725:	['谐波', '低温泵', '减速机']
726:	[]
727:	['线束', '双载', '90']
728:	['防水材料', '粘度', '静载']
729:	['胶塞', '铝电解', '接']
730:	['清扫车', '二维码', '电子秤']
731:	[]
732:	['晶体生长', '硅单晶', '锑']
733:	['吸顶', '同轴', '音箱']
734:	['贻贝', '厚壳', '包装袋']
735:	['LORA', '4G', '通信']
736:	['时间', '超宽带', '定位系统']
737:	['GUI', '计划书', '家庭']
738:	['软', '切断阀', 'Y']
739:	[]
740:	['无纬布', '压花', '后期']
741:	['缸盖', '油压', '涡旋']
742:	['防火', '中盖', '注塑模']
743:	['锻件', '中频', '滑动轴承']
744:	['天然气', '分子筛', '减速机']
745:	['铝油', '管线', '冷器']
746:	['铁氧体', '相框', '磁性']
747:	['焊接设备', '八', '焊机']
748:	['挖掘机', '切断阀', '齿轮泵']
749:	['制鞋', '安全鞋', '聚氨酯']
750:	['管径', '焊钳', '接']
751:	['炉用', '多晶硅', '碳纤维']
752:	['压电', '磁性', '蜗轮']
753:	['导引', '充电机', '充电器']
754:	['重合', '升降台', '千斤顶']
755:	['钢质', '窗框', '窗']
756:	['吸湿', '针刺', '水刺']
757:	['观冰', '精灵', '线路']
758:	['带丝杆', '生活', '洁具']
759:	[]
760:	['尾灯', '大灯', '编织']
761:	['热流', '立柱', '滑块']
762:	['操作界面', '单片', '混']
763:	['码', '上布', '布机']
764:	['压塑', '布机', '聚氨酯']
765:	['吸塑机', '宽度', '乳化']
766:	['钯', '化学镀', '基体']
767:	['管件', '五星', '办公椅']
768:	['DTY', '纸管', '压花']
769:	[]
770:	[]
771:	['测温', '枪机', '黑体']
772:	[]
773:	['储', '软管', '标准']
774:	[]
