id	pred	
77:	['商标', '织边', '装置', '抗静电', '缎带']
78:	['油锯', '刹车', '灌机', '系统', '低噪音']
79:	['吸管', '制备', '方法', '包装袋', '夜光']
80:	['计算机设备', '装置', '方法', '交易', '数据']
81:	['拉丝机', '烘干炉', '机头', '机构', '纱机']
82:	['环境参数', '外壳', '装置', '监测', '记录仪']
83:	[]
84:	['回收站', '被服', '分拣', '自助', '织物']
85:	['电钻', '冲击', '电动工具', '充电式', '曲线']
86:	['涂料', '制备', '铝型材', '油漆', '方法']
87:	['螺母', '螺栓', '具有', '紧固', '功能']
88:	[]
89:	['除尘器', '湿式', '滤筒', '装置', '斜插']
90:	['虚拟现实', '实验', '平台', '控制', '技术开发']
91:	['女鞋', '休闲鞋', '皮鞋', '透气', '舒适型']
92:	['节能灯', '台灯', '控制电路', '集成', '装置']
93:	['阻燃性', '纺织', '测试', '装置', '材料']
94:	['装置', '电催化', '滤机', '水面', '废水']
95:	['透气', '流延', '复合膜', '挤出', '纸尿裤']
96:	['家具', '无胶', '装置', '纤维板', '制备']
97:	['线缆', '串行', '总线', '并行', '转换']
98:	[]
99:	['装置', '人防', '机械加工', '切割', '工装']
100:	['双电源', '自动', '接线', '仪表', '电力']
101:	['制备', '吸水纸', '羊皮纸', '装置', '阻燃']
102:	['集成', '机头', '装置', '全功能', '烤箱']
103:	['络筒', '线管', '纱架', '气动', '置式']
104:	['挖掘机', '焊接工', '配重', '履带', '油箱']
105:	['包装盒', '印刷', '装置', '固定装置', '标签']
106:	['环己酮', '皂化', '废水', '制备', '方法']
107:	['树脂砂', '铸造', '磨具', '装置', '定位']
108:	['灯板', '节能灯', '焊锡', '软灯', '灯具']
109:	['瓦楞纸', '装置', '压纸', '印刷机', '模切']
110:	['路灯', '智慧', '性能', '安全']
111:	['取暖器', '发热', '制备', '石墨', '碳纤维']
112:	['硅烷', '装置', '方法', '氟化', '生产']
113:	['滑轨', '滑块', '打孔机', '防锈', '导轨']
114:	['煎锅', '炒锅', '汤锅', '奶锅', '锅体']
115:	[]
116:	['水泵', '冷却塔', '装置', '高效', '过滤器']
117:	['隔热', '外墙砖', '断桥', '墙体', '玻璃幕墙']
118:	['装置', '医院', '污水', '吊顶', '结构']
119:	['换气扇', '传动装置', '窗帘', '装置', '车窗']
120:	['卡合', '模具']
121:	['混凝土', '检测', '试验机', '试验装置', '沥青']
122:	['鞋底', '模具', '高跟鞋', '鞋用', '稳定性']
123:	['阻燃', '面料', '防静电', '设备', '装置']
124:	['医用', '挤出机', '润滑', '进料', '机构']
125:	['电容器', '电容', '模组', '电感器', '耐高温']
126:	['救护车', '型材', '车用', '担架', '装置']
127:	['制备', '丙烯酸酯', '胶粘剂', '方法', '铝浆']
128:	['装置', '沙发', '耐用性', '拼板', '砂光机']
129:	['基板', '装盒', '装置', '筒灯', '圆柱形']
130:	['应答', '关键词', '语音', '意向', '匹配']
131:	['手术', '顺产', '创口', '保护套', 'X光']
132:	['污水', '过滤', '设备', '离心式', '过滤器']
133:	['装置', '除臭', '修复', '氯代', '净化剂']
134:	['电磁', '离合器', '制动器', '减震', '电力']
135:	['粘度', '测量', '全自动', '毛细管', '适用']
136:	['车辆', '方法', '拥堵', '红外', '图像']
137:	['屏蔽', '测试', '功分器', '转台', '射频']
138:	['平车', '隐藏式', '吊钩', '电动', '取货']
139:	['再生', '生产工艺', '涤纶', '纤维', '用于']
140:	['护套', '铁芯', '线圈', '点火', '套接']
141:	['电池组', '单体', '锂离子', '电池', '卡扣']
142:	['不粘锅', '金属陶瓷', '涂层', '耐磨', '套锅']
143:	['热风炉', '高效', '岩棉', '混合器', '燃气炉']
144:	['球阀', '锻造', '自由锻', '适配', '机构']
145:	['面料', '防静电', '定型机', '络筒', '机用']
146:	['柱塞泵', '液压泵', '控制阀', '结构', '柱塞']
147:	['防腐木', '抗菌', '组装', '改性', '制备']
148:	['笔记本', '内芯', '装置', '折页', '设备']
149:	['眼镜', '镜腿', '装置', '眼镜盒', '清洗']
150:	['螺帽', '标准件', '轮毂', '清洗机', '出料']
151:	['熔断器', '焊接工', '熔断', '电瓶', '断电']
152:	['闻诊']
153:	['椅子', '靠背', '转椅', '装式', '脚架']
154:	['播放', '视频', '定位', '指纹识别', '对象']
155:	['转轮', '除湿', '软胶囊', '装置', '用于']
156:	[]
157:	['暖通', '管道', '设备', '诱导']
158:	['割草机', '刀头', '除草机', '绿篱', '电动']
159:	['基质', '质谱', '制备', '检测', '方法']
160:	['环链', '线器', '手扳', '电动葫芦', '葫芦']
161:	['靠背', '办公椅', '椅子', '头枕', '椅背']
162:	['反光', '反光膜', '亚克力', '高亮', '制备']
163:	['摆件', '桌饰', '塑料薄膜', '成型', '装置']
164:	['缓释', '有机肥', '制备', '专用', '方法']
165:	[]
166:	['搅拌器', '搅拌', '凝胶', '混合', '固定']
167:	['预制', '板梁', '叠合', '混凝土', '管片']
168:	[]
169:	['储存罐', '化工', '使用寿命', '固定装置', '反应釜']
170:	['远程', '采集器', '控制器', '采集', '内物']
171:	[]
172:	[]
173:	['破碎', '液压', '换向阀', '活塞环', '结构']
174:	['反应釜', '化工', '冷凝器', '热交换', '塔顶']
175:	['缝合', '包皮', '切割', '穿刺', '冲洗']
176:	['净化器', '结构', '电场', '静电', '除尘']
177:	['叉车', '夹具', '床垫', '机器人', '搬运']
178:	['气门', '座圈', '粉末冶金', '壳体', '组件']
179:	['物帘', '汽车', '支撑架', '遮阳', '拉板']
180:	['茶叶', '装置', '烘干', '机设备', '筛网']
181:	['曳引轮', '电梯', '锚索', '曳引', '铸造']
182:	['试验装置', '桩基', '抗压', '静载', '试验机']
183:	['电动车', '前大灯', '尾灯', '灯组', '侧板']
184:	['挤出机', '粒料', '制备', '装置', '低烟']
185:	[]
186:	['聚丙烯', '装置', '挤出机', '出料', '用于']
187:	['废气', '装置', '处理', '空气净化', '脱附']
188:	[]
189:	['装置', '智能', '视频会议', '固定装置', '开槽']
190:	['包装袋', '制品', '食品', '卤制', '包装']
191:	['罗马柱', '家具', '装饰', '连接', '插接']
192:	['灭火', '公共汽车', '系统', '客舱', '智能']
193:	['防爆', '照明灯', '手电筒', '手提式', '探照灯']
194:	['滤器', '全自动', '流泵', '机组', '反应']
195:	['熨烫', '演出', '服装', '绕线', '服装面料']
196:	['童车', '电动', '越野车', '儿童', '四轮车']
197:	['皮革', '展平', '拉断', '装置', '人造']
198:	['液压', '缓释', '卸料', '螺旋式', '节能']
199:	['桁架', '钢筋', '楼承板', '木框', '节点']
200:	['螺栓', '螺母', '垫片', '冷镦', '螺杆']
201:	['波纹管', '成型机', '工位', '液压', '装置']
202:	['脱除', '氯离子', '印迹', '选择性', '离子']
203:	['爪极', '发电机', '热锻', '精整', '励磁']
204:	['甲醛', '光催化剂', '应用', '可见光', '制备']
205:	['制袋机', '无纺布', '印刷', '插座', '双面']
206:	['离心泵', '叶轮', '转速', '化工泵', '直立式']
207:	[]
208:	['健身器材', '插销', '配重', '智能', '测量']
209:	[]
210:	[]
211:	['图形用户界面', '电脑', '带有', '用于', '堡垒']
212:	['消防', '球阀', '减压阀', '阀门', '试压']
213:	['信标', '全盲', '北斗', '系统', '成像仪']
214:	['清扫车', '喷洒', '装置', '清扫', '前置']
215:	['电泵', '合金', '潜油', '装置', '加工']
216:	[]
217:	['射击训练', '浮标', '升降台', '模块', '支架']
218:	['保温杯', '建模', '抛光', '方法']
219:	['时钟', '分布式应用', '水听器', '采样', '面向']
220:	['带式', '压滤机', '压滤', '浓缩', '移动']
221:	['废气', '装置', '处理', '气浮', '设备']
222:	['草机', '园林工具', '修枝', '吹风机', '链锯']
223:	['眼镜', '太阳眼镜', '护目镜', '智能', '光学镜片']
224:	['单向', '起动机', '加工', '工装', '驱动']
225:	['沙发', '装置', '印花机', '座椅', '地垫']
226:	['装置', '热处理', '工件', '输送', '真空']
227:	['方法', '上线', '切换', '服务器', '用户量']
228:	['存储介质', '方法', '区块', '设备', '系统']
229:	['电机', '端盖', '外壳', '散热', '加工']
230:	['保温箱', '包装盒', '冷藏', '手推车', '花纹']
231:	['舷外机', '装配', '夹具', '外罩', '水泵']
232:	['烟气', '多氯联苯', '念珠', '高效', '降解']
233:	['食品', '气密性', '检测', '漏气', '设备']
234:	['电机', '电子', '绞盘', '雨刮器', '散热器']
235:	['滑板车', '结构', '自行车', '电动', '折叠车']
236:	['轮毂', '轴承', '单元', '结构', '调整结构']
237:	[]
238:	[]
239:	['停车', '智能', '传感', '无线', '检测']
240:	['废气', '联用', '装置', '推送', '神经网络']
241:	['装置', '镁合金', '防护罩', '带材', '衬纸']
242:	['蒸发器', '逆流', '装置', '出料', '系统']
243:	['摩托车', '装置', '转向灯', '开关', '线缆']
244:	['集成', '油烟机', '机头', '头部', '高效']
245:	['保温', '保温板', '复合板', '装饰', '一体']
246:	['尼龙', '粘扣', '成型', '粘扣带', '模具']
247:	['电动', '升降', '靠背', '功能', '骨架']
248:	[]
249:	['冲洗阀', '装置', '液压', '柱塞', '齿轮泵']
250:	['电梯门', '厅门', '电梯', '挂门', '防火']
251:	['粘结剂', '制备', '内衬', '应用', '方法']
252:	['冷却塔', '装置', '消雾', '风筒', '盐粉']
253:	['装置', '剑杆', '整经机', '定型机', '绗缝机']
254:	['减振器', '三筒', '减震器', '单循环', '装置']
255:	['装置', '防堵', '蒸汽', '破碎机', '输送带']
256:	['移动式', '测温', '智能', '系统']
257:	['标识牌', '景区', '调节', '自动', '低功耗']
258:	[]
259:	[]
260:	['刹车片', '装置', '模具', '散热', '刹车盘']
261:	['超声波', '喷涂机', '蛋糕', '设备', '无纺布']
262:	['装置', '监测', '检测', '浑浊度', '噪音']
263:	['混凝土', '微珠', '侧石', '平侧石', '透水']
264:	['砂光机', '装置', '菱形', '卷机', '换辊']
265:	['印染', '装置', '定型机', '废气', '染色机']
266:	['模具', '装置', '底座', '加工', '铆机']
267:	['贩卖机', '自动', '微波炉', '装置', '泄漏']
268:	['试验机', '螺栓', '装置', '检测', '检测仪']
269:	['装置', '用于', '进料', '印刷', '印刷机']
270:	['消火栓', '智能', '工装', '装置', '监测']
271:	['工装', '夹具', '铁屑', '祛除', '检测']
272:	[]
273:	['眼镜', '镜片', '眼镜架', '镜框', '便于']
274:	['踢脚线', '脚线', '布线', '可拆卸', '防潮']
275:	['球阀', '截止阀', '闸阀', '蝶阀', '升降式']
276:	['卷材', '装置', '波形', '输送', '涂布机']
277:	['折叠桌', '可折叠', '结构', '会议桌', '桌子']
278:	['日光灯', '灯头', '铝材', '壳体', '用于']
279:	[]
280:	['虚拟', '教学系统', '智慧', '装置', '教学方法']
281:	['立体车库', '组件', '横移', '纵梁', '松链']
282:	['试剂盒', '建库', '外周血', '减震', '恒温']
283:	['模块', '文件', '终端', '活化', '扩展']
284:	[]
285:	['诊断仪', '保护膜', '全自动', '乳腺', '超声']
286:	[]
287:	['模具钢', '装置', '高速钢', '切割', '退火']
288:	['装置', '垃圾桶', '检修', '电梯', '智能']
289:	['断路器', '真空', '智能型', '高压', '铁芯']
290:	['电机', '装配', '磁体', '装置', '推杆']
291:	['试验台', '耐久', '精度', '工业', '测试']
292:	['型钢', '集成', '房屋', '装置', '墙板']
293:	['阀门', '球阀', '截止阀', '阀盖', '壳体']
294:	['开关柜', '配电箱', '低压', '配电柜', '刀开关']
295:	['钢丝网', '骨架', '生产', '装置', '管道']
296:	['检测', '印刷机', '电阻', '装置', '贴片']
297:	['预测性', '读表器', '故障诊断', '智能', '摄像']
298:	['清洗', '储罐', '系统', '降解', '污染']
299:	['空调机', '叠式', '联体', '空调', '冷凝器']
300:	['装置', '输送', '粉碎', '颗粒', '打散']
301:	['减震器', '摩托车', '后轮', '机车', '减振器']
302:	['仿生', '陶瓷', '酸化', '机器', '包覆']
303:	['热水', '双源', '淋浴', '装置', '太阳能']
304:	['变压器', '油浸', '干式', '保护', '分接']
305:	['包装', '包装袋', '用于', '环保型', '薄膜']
306:	['气胀轴', '滑差', '轴套', '滚珠', '组件']
307:	[]
308:	['无纺布', '干巾', '抗菌']
309:	['风机', '电机', '蒸烤', '热循环', '风轮']
310:	['换热器', '蒸汽', '翅片', '加热器', '装置']
311:	['闸阀', '阀门', '内腔', '磨削', '密封']
312:	['废水处理', '酚氰', '焦化', '装置', '工艺设备']
313:	['链条', '装置', '项链', '锤链', '轧线']
314:	['纸板', '印刷', '包装盒', '覆膜机', '固色剂']
315:	['流量计', '装置', '智能', '锅炉', '检测仪']
316:	['印花机', '装置', '圆网', '化机', '染液']
317:	['热流', '气缸', '装置', '铰刀', '型腔']
318:	['装置', '锅炉', '节能型', '烟气', '脱硫']
319:	['光纤', '脉冲', '超短', '系统', '激光']
320:	['刹车片', '装置', '汽车', '硫化机', '摩擦']
321:	['装置', '发光', '农业', '传感器', '光纤']
322:	['控制板', '便于', '猪仔', '井盖', '保育']
323:	['加工', '中心', '机构', '炉室', '托架']
324:	['陶瓷膜', '装置', '平板', '适用', '组装']
325:	['汽车空调', '蒸发器', '冷凝器', '风门', '消音']
326:	['机器人', '减速机', '工业', '机械', '轻量化']
327:	['汽车空调', '管端', '装置', '管路', '口端']
328:	['石斛', '铁皮', '制备', '方法', '牙膏']
329:	['冲压机', '热敏', '发热', '陶瓷']
330:	['涂料', '双液', '稀释剂', '搅拌', '聚氨酯']
331:	['转子', '工艺', '加工']
332:	['摄像头', '适配', '屏蔽', '屏幕', '存储介质']
333:	['链条', '丝料', '连续式', '套筒', '装置']
334:	['标签', '货架', '智能', '装置', '电子']
335:	['提花布', '易清洗', '抗皱', '户外用品', '制造']
336:	['装置', '预处理', '水样', '方法', '气体']
337:	['盾构', '装置', '机刀', '防背', '矩形']
338:	['构建', '脯氨酸', '酶工程', '应用', '酪氨酸']
339:	['蹦床', '长寿命', '健身', '体育', '均匀']
340:	['激光雕刻', '改进型', '装置', '高分辨率', '投影']
341:	['五星', '滚轮', '拆装', '组件', '功能']
342:	['镜片', '研磨', '抛光机', '游星', '研磨机']
343:	['轴承', '关节轴承', '装置', '打孔', '设备']
344:	['贴合', '修补', '模块', '沥青', '道路']
345:	['仪表', '智能', '配电', '面向对象', '方法']
346:	['污水处理', '装置', '缓冲', '设备', '流网']
347:	['构件', '叠合', '具有', '模具', '生产工艺']
348:	['离心', '口袋', '眼罩', '新生儿', '敷贴']
349:	['纱线', '羊毛', '羊绒纱', '毛机', '装置']
350:	['换向器', '自动', '钻孔机', '振动盘', '全自动']
351:	['插座', '汽车', '水通', '模具', '加工']
352:	['染整', '装置', '加料', '余热', '针织']
353:	['混凝土', '装置', '搅拌机', '水泥', '骨料']
354:	['伞齿轮', '螺旋', '皮卡车', '驱动', '商务车']
355:	['包装桶', '聚丙烯', '塑料', '高性能', '集装']
356:	['麂皮', '装置', '压花机', '烫金', '抗皱']
357:	['链条', '链轮', '预拉', '销压', '抛光']
358:	['包装机', '装置', '纸塑', '制袋机', '口罩']
359:	[]
360:	['风罩', '离心', '风机', '叶片', '叶轮']
361:	['焊接机', '激光', '钢片', '夹具', '焊接']
362:	['拉杆箱', '箱包', '装置', '硬质', '软质']
363:	['传感器', '流量', '曲轴', '空气', '位置']
364:	['涤纶', '塑料片', '缠绕机', '装置', '转鼓']
365:	[]
366:	[]
367:	['磨光机', '角向', '磨机', '角磨', '装置']
368:	['普拉提', '健身器', '脚踏', '训练器', '核心']
369:	[]
370:	['锁具', '指纹锁', '门锁', '关门', '智能']
371:	['臭氧', '过滤', '溢水', '放电', '单元']
372:	['飞行器', '用于', '旋翼', '四轴', '螺旋桨']
373:	['边坡', '用于', '装置', '植草', '喷播']
374:	['包装盒']
375:	['浇注', '聚氨酯', '装置', '开合', '发泡机']
376:	['验布机', '断针', '检测', '装置', '帷幔']
377:	['泡沫', '夹紧', '浮球', '装置', '加工']
378:	['断路器', '真空', '箱式', '绝缘', '结构']
379:	['单向', '离合器', '齿轮', '外壳', '密封']
380:	[]
381:	['扫描仪', '馈纸', '文档', '扫描', '送稿']
382:	['成型机', '泡沫塑料', '预发', '自动', '全自动']
383:	['装置', '园林', '市政', '浇灌', '支撑架']
384:	['贴片', '装置', '裁切机', '制备', '花岗岩']
385:	['绣花机', '帽绣', '晶石', '帽圈', '机架']
386:	['装置', '鞋子', '休闲鞋', '高效', '纸团']
387:	['电表箱', '计量', '配电箱', '防尘', '便于']
388:	['辊道', '输送机', '装置', '工作台', '皱纸']
389:	['包装机', '自动', '装置', '电机', '废屑']
390:	['开幅', '机构', '预压', '幅机', '全自动']
391:	['遮阳网', '装置', '遮阳棚', '遮阳', '阳台']
392:	['模板', '缝纫机', '双针', '旋转', '供料']
393:	[]
394:	['注射用', '硫醇', '盐酸', '制剂', '制备']
395:	['锯片', '检测', '装置', '焊接机', '置放']
396:	['面料', '床垫', '提花', '纤维', '床品']
397:	[]
398:	['腕带', '硅胶', '导电', '拉伸', '新生儿']
399:	['电动', '平衡', '联网', '折叠', '竖杆']
400:	['镗刀', '打孔', '钻头', '双刃', '刀具']
401:	['检测', '装置', '称重', '车辆', '宽高']
402:	['量块', '测定仪', '胶砂', '测落', '专用']
403:	['摩托车', '燃油泵', '化油器', '皮带轮', '柱塞']
404:	['休闲鞋', '制鞋', '压平', '鞋面', '卧式']
405:	[]
406:	['相框', '装置', '组合', '输送', '多角度']
407:	['断路器', '装置', '熔断器', '漏电', '开关']
408:	['染色机', '装置', '印染', '化机', '染液']
409:	['开关柜', '充气', '断路器', '开关', '负荷']
410:	['封装', '器件', '固晶胶', '方法', '支架']
411:	['冷式']
412:	['滑索', '往复式', '游乐', '滑轨', '滑行']
413:	['版辊', '装置', '数控车床', '卡盘', '磨机']
414:	['装置', '手提袋', '包装盒', '印刷机', '覆膜']
415:	['网络游戏', '方法', '网格', '排队', '寻路']
416:	['甲基', '有机硅', '装置', '氯硅烷', '生产']
417:	['装置', '封装', '耐热', '搅拌', '球磨机']
418:	['反应釜', '制备', '酰基', '方法', '类化合物']
419:	['甲苯', '装置', '用于', '合成', '复配']
420:	[]
421:	['乳液', '涂层', '粘合剂', '制备', '纺织']
422:	['污泥', '装置', '干化', '热解', '处理']
423:	['改性沥青', '沥青', '装置', '乳化', '生产']
424:	['装置', '纺丝', '聚酯', '涤纶', '扁平']
425:	['方法', '服务平台', '交互', '数据交换', '系统']
426:	['烷基化', '凝气', '回收', '利用', '系统']
427:	[]
428:	['螺栓', '单头', '倒角', '铆压', '吸嘴']
429:	['离合器', '动盘', '总成', '汽车', '压盘']
430:	['活性染料', '芳烃', '衍生物', '制备', '方法']
431:	['牙板', '模具', '螺丝', '自攻', '螺栓']
432:	[]
433:	['装置', '芯片', '电路', '按键', '扫描']
434:	['减速机', '蜗杆', '蜗轮', '消隙', '齿轮']
435:	[]
436:	['纸箱', '瓦楞纸', '包装盒', '高强度', '包装']
437:	['电磁阀', '三通', '触点', '制动', '开关']
438:	['截止阀', '闸阀', '过滤', '卧式', '分体式']
439:	['装置', '包装机', '珍珠棉', '发泡机', '保温']
440:	['分拣', '方法', '装置', '系统', '平台']
441:	['鞋楦', '装置', '打磨', '木制', '夹手']
442:	['奶瓶', '水杯', '杯盖', '吸管', '硅胶']
443:	['改性', '装置', '粘结剂', '塑料颗粒', '浆料']
444:	['平台车', '搬运车', '电动', '手动液压', '行李车']
445:	['轴承', '装置', '固定装置', '加工', '检测']
446:	[]
447:	['脚踏板', '装置', '车用', '车辆', '踏板']
448:	[]
449:	['节气门', '传感器', '汽车空调', '总成', '装置']
450:	['折叠门', '高强度', '玻璃门', '连接', '边条']
451:	['亚麻', '装置', '加工', '纺织', '针织']
452:	['砂浆', '混凝土', '制备', '方法', '装置']
453:	['电阻器', '合金', '电阻箱', '弹簧', '弹簧机']
454:	['充电器', '线圈', '无线', '接收', '滤波器']
455:	['氟化氢', '环氧', '尾气', '改性', '脱硫剂']
456:	['座舱', '电脑', '工作站', '调节', '重力']
457:	['面料', '纺织机', '装置', '丝毛', '透气']
458:	['垃圾桶', '射频', '识别', '智能', '分类']
459:	['模组', '动力电池', '新能源', '汽车']
460:	['方法', '边缘', '组网', '联网', '终端设备']
461:	['系统', '旋翼', '方法', '无人驾驶', '用于']
462:	['系统', '助力', '电动', '转向', '制动']
463:	['模锻', '精密', '温热', '传动', '锻造']
464:	['环氧氯丙烷', '皂化', '反应釜', '精馏', '甘油']
465:	['真空泵', '结构', '回收机', '弯管', '泵腔']
466:	['螺栓', '铁材', '镀锌', '酸洗', '可调']
467:	[]
468:	['显示屏', '手持式', '散热装置', '终端装置', '扫描枪']
469:	[]
470:	['铝焊', '装置', '加工', '拉伸', '剥皮']
471:	['面料', '阻燃', '涤纶', '印花', '胚布']
472:	['加热', '制作方法', '复合', '纤维', '电热']
473:	['电除尘器', '阳极板', '库仑', '烟气', '排气管']
474:	['胶带', '粘尘', '防水', '双面胶', '泡棉']
475:	['烧结炉', '铺粉', '轴承', '用于', '自动']
476:	['反应釜', '减水剂', '高性能', '泵送', '羧酸']
477:	[]
478:	['电机', '塑封', '转子', '直流', '定子']
479:	['熔化炉', '芯片', '发电', '带盖', '可调']
480:	['管理系统', '医疗器械', '消毒', '婴儿', '手术']
481:	[]
482:	[]
483:	['跟踪器', '监测', '动物', '监测器', '抓捕']
484:	['拉丝机', '报警', '电缆', '电机', '高温']
485:	['力器', '气动', '绞盘', '取力', '行星']
486:	[]
487:	['传感器', '尾气', '装置', '焊接', '设备']
488:	['装置', '氯化铝', '絮凝', '混凝', '搅拌']
489:	['多晶硅', '装置', '钢线', '高效', '铸锭']
490:	['纱筒', '滚筒', '纱锭', '辅助', '残纱']
491:	['混凝土', '模板', '建筑', '建筑用', '搅拌']
492:	['数码', '打印机', '机构', '送料', 'T恤衫']
493:	[]
494:	['装置', '涤纶丝', '色母粒', '防堵', '彩色']
495:	[]
496:	['螺栓', '装置', '螺钉', '成形', '紧固']
497:	['叶轮', '密封', '杂质', '机械', '集装']
498:	['测距仪', '望远镜', '相位', '摄像', '激光测距']
499:	['装置', '施工', '隧道', '爆破', '方法']
500:	['门窗', '玻璃幕墙', '幕墙', '结构', '防水']
501:	['高空作业', '平台', '装置', '输送机', '剪叉式']
502:	['负离子', '连体', '包装盒', '文胸', '内裤']
503:	['螺丝', '毛刺', '精加工', '组件', '设备']
504:	['不干胶', '标签', '装置', '滑板', '划船']
505:	['吊机', '液压', '升降台', '加工', '压机']
506:	['电力设备', '警示', '装置', '提醒', '安全']
507:	['防眩', '投光灯', '灯灯', '荧光粉', '氮氧化物']
508:	[]
509:	['纸尿裤', '格子状', '木浆', '奶瓶', '工艺']
510:	['袜机', '装置', '织缝', '织袜机', '袜子']
511:	['开关', '保护', '控制', '传动件', '触头']
512:	['机器人', '装置', '检测', '齿轮', '拾取']
513:	['测量仪', '标定', '方法', '测量方法', '滚子']
514:	['方法', '装置', '图形用户界面', '设备', '拼车']
515:	['燃料电池', '极板', '电堆', '装置', '结构']
516:	['沙发', '电动', '视觉效果', '图像', '家具']
517:	['锅盖', '烹饪', '器具', '压力锅', '限压阀']
518:	['磨床', '转子', '工件', '机构', '定位']
519:	['假发', '发丝', '装置', '苎麻', '纤维']
520:	['人造草坪', '草坪', '装置', '烘道', '弹性']
521:	['印刷版', '装置', '版辊', '用于', '键槽']
522:	['停车', '值守', '无人', '装置', '计费']
523:	['电路', '时钟', '芯片', '频率', '流水线']
524:	['试验机', '绝缘子', '电缆', '装置', '全自动']
525:	['治具', '充电', '接口', '用于', '工艺']
526:	['设备', '输送', '机构', '栈板', '倒料']
527:	['便利', '便条纸', '方法', '制作', '自粘式']
528:	['混凝土', '管桩', '装置', '预应力', '利用装置']
529:	['标签', '远程', '监控', '联网', '管理']
530:	['机柜', '加强型', '台板', '保险柜', '出风']
531:	['扬声器', '跌落', '导磁件', '扣合', '膜片']
532:	['电动汽车', '结构', '壳体', '电池', '汽车']
533:	['横线', '机构', '脚轮', '打孔机', '回料']
534:	['主轴', '数控机床', '机床', '车床', '托板']
535:	['墙纸', '脱胶', '麻纤维', '干法', '无水']
